type,time,id,side,size,price,cancSize,execSize,oldId,oldSize,oldPrice
E,0 days 09:39:25.726630392,1786045,0,0.0,290.83,,100.0,,,
E,0 days 09:39:25.922884688,1787446,0,71.0,290.84,,29.0,,,
E,0 days 09:39:25.996405112,1787789,1,0.0,290.84,,100.0,,,
E,0 days 09:39:31.580743482,1799979,0,0.0,290.85,,100.0,,,
E,0 days 09:39:32.198142270,1802779,0,0.0,290.85,,100.0,,,
E,0 days 09:39:39.604405331,1820478,1,0.0,290.88,,100.0,,,
E,0 days 09:39:40.532590778,1818666,0,0.0,290.87,,100.0,,,
E,0 days 09:39:42.444778127,1829863,1,0.0,290.85,,100.0,,,
E,0 days 09:39:42.474621754,1798495,0,2600.0,290.84,,400.0,,,
E,0 days 09:39:42.474621754,1798495,0,2500.0,290.84,,100.0,,,
E,0 days 09:39:45.103906529,1839054,1,192.0,290.84,,8.0,,,
